nome,telefone,valor_contribuido,forma_pagamento
Helena Nascimento,(71) 91202-0040,45,Espécie
Victor Dias,(71) 97303-0041,20,Espécie
Vinícius Rocha,(71) 92530-0042,90,PIX
Lucas Lima,(71) 97930-0043,0,Não contribuiu
Larissa Silva,(71) 98545-0044,50,Espécie
Camila Oliveira,(71) 96656-0045,0,Não contribuiu
Juliana Santos,(71) 91090-0046,40,PIX
Rafael Melo,(71) 94909-0047,0,Não contribuiu
Gabriel Ramos,(71) 92876-0048,95,Espécie
Marcelo Ribeiro,(71) 92602-0049,40,Espécie
Gustavo Lima,(71) 93380-0050,95,Espécie
Gabriel Santos,(71) 99263-0051,0,Não contribuiu
Yasmin Carvalho,(71) 97780-0052,20,Espécie
Mateus Barbosa,(71) 91286-0053,80,PIX
Mateus Santos,(71) 97454-0054,20,Espécie
Diego Costa,(71) 91667-0055,65,Espécie
Patrícia Santos,(71) 98399-0056,60,Espécie
Isabela Mendes,(71) 94457-0057,95,Espécie
Mateus Pereira,(71) 98343-0058,0,Não contribuiu
Mariana Rocha,(71) 94968-0059,40,PIX
Diego Pereira,(71) 91582-0060,75,Espécie
Helena Oliveira,(71) 98182-0061,55,PIX
Camila Gomes,(71) 94123-0062,70,PIX
Paulo Costa,(71) 99335-0063,80,PIX
Rodrigo Santos,(71) 94516-0064,50,Espécie
Fernanda Teixeira,(71) 94383-0065,0,Não contribuiu
Larissa Santos,(71) 97675-0066,50,Espécie
William Mendes,(71) 92151-0067,55,PIX
Mariana Teixeira,(71) 96010-0068,65,PIX
Yasmin Souza,(71) 91656-0069,80,Espécie
Samuel Souza,(71) 91717-0070,90,PIX
Isabela Santos,(71) 99182-0071,15,PIX
Aline Souza,(71) 97078-0072,65,Espécie
Elaine Nascimento,(71) 96847-0073,60,PIX
Ana Carvalho,(71) 95038-0074,0,Não contribuiu
Helena Souza,(71) 96152-0075,0,Não contribuiu
Mariana Barbosa,(71) 95479-0076,65,Espécie
Eduardo Vieira,(71) 92329-0077,45,PIX
Beatriz Santos,(71) 96606-0078,0,Não contribuiu
Elaine Silva,(71) 95511-0079,10,PIX
Gabriel Melo,(71) 93479-0080,30,PIX
Ana Pereira,(71) 94795-0081,75,Espécie
Daniel Ribeiro,(71) 94856-0082,50,Espécie
Renata Rocha,(71) 98369-0083,80,PIX
Gustavo Souza,(71) 92465-0084,40,PIX
Mateus Melo,(71) 93301-0085,15,Espécie
Sofia Rocha,(71) 93684-0086,65,PIX
Sofia Ferreira,(71) 97123-0087,95,Espécie
Carlos Silva,(71) 92651-0088,0,Não contribuiu
Rafael Mendes,(71) 98813-0089,10,Espécie
Bruno Souza,(71) 99869-0090,10,PIX
Mateus Rocha,(71) 98603-0091,0,Não contribuiu
Eduardo Vieira,(71) 98575-0092,15,PIX
Eduardo Ferreira,(71) 98530-0093,0,Não contribuiu
Gabriel Martins,(71) 91646-0094,0,Não contribuiu
Diego Carvalho,(71) 94692-0095,0,Não contribuiu
Thiago Rocha,(71) 92051-0096,55,Espécie
João Lima,(71) 93358-0097,60,PIX
Gustavo Moreira,(71) 95236-0098,0,Não contribuiu
Rodrigo Gomes,(71) 99579-0099,0,Não contribuiu
Yasmin Almeida,(71) 96971-0100,0,Não contribuiu
William Silva,(71) 97851-0101,20,PIX
Rafael Ramos,(71) 97523-0102,20,Espécie
Gustavo Mendes,(71) 96125-0103,40,PIX
Yasmin Rocha,(71) 92448-0104,0,Não contribuiu
Camila Dias,(71) 96751-0105,15,PIX
Fábio Gomes,(71) 98759-0106,90,PIX
William Moreira,(71) 97497-0107,60,Espécie
Bruno Lima,(71) 91267-0108,50,PIX
Lucas Martins,(71) 96744-0109,70,PIX
Simone Lima,(71) 94530-0110,0,Não contribuiu
Sofia Martins,(71) 91057-0111,0,Não contribuiu
Eduardo Mendes,(71) 96653-0112,20,PIX
Mateus Oliveira,(71) 93857-0113,0,Não contribuiu
Fernanda Ribeiro,(71) 97208-0114,100,Espécie
Larissa Rocha,(71) 94292-0115,0,Não contribuiu
Gabriel Ferreira,(71) 93671-0116,70,Espécie
Isabela Barbosa,(71) 94795-0117,95,Espécie
Fernanda Almeida,(71) 93120-0118,30,Espécie
Renata Rocha,(71) 98876-0119,60,PIX
Sofia Oliveira,(71) 95909-0120,60,PIX
Larissa Barbosa,(71) 95731-0121,20,PIX
Simone Ferreira,(71) 98535-0122,90,Espécie
Vinícius Santos,(71) 94757-0123,20,PIX
Yasmin Santos,(71) 95920-0124,0,Não contribuiu
Yasmin Mendes,(71) 91415-0125,0,Não contribuiu
Vinícius Almeida,(71) 99316-0126,10,PIX
João Barbosa,(71) 91378-0127,25,Espécie
Rodrigo Souza,(71) 96452-0128,50,PIX
Vanessa Oliveira,(71) 97026-0129,100,PIX
Juliana Almeida,(71) 92240-0130,45,Espécie
Lucas Costa,(71) 93627-0131,70,PIX
Fábio Silva,(71) 97516-0132,25,Espécie
Fernanda Ferreira,(71) 98311-0133,25,Espécie
Rodrigo Ribeiro,(71) 91709-0134,35,Espécie
Carlos Teixeira,(71) 97360-0135,90,PIX
Simone Costa,(71) 97140-0136,40,Espécie
Natália Oliveira,(71) 97529-0137,0,Não contribuiu
Bruno Ferreira,(71) 96400-0138,70,Espécie
Gabriel Teixeira,(71) 98914-0139,95,PIX
Camila Vieira,(71) 97019-0140,0,Não contribuiu
Lucas Costa,(71) 98686-0141,0,Não contribuiu
Natália Barbosa,(71) 96486-0142,85,Espécie
Fábio Pereira,(71) 99570-0143,0,Não contribuiu
Helena Silva,(71) 94038-0144,85,PIX
Sofia Ferreira,(71) 91981-0145,0,Não contribuiu
Lucas Lima,(71) 96170-0146,0,Não contribuiu
Mariana Mendes,(71) 92534-0147,70,Espécie
Rafael Ribeiro,(71) 98623-0148,90,Espécie
Juliana Vieira,(71) 99610-0149,0,Não contribuiu
Natália Ferreira,(71) 97973-0150,0,Não contribuiu
Lucas Dias,(71) 94939-0151,40,PIX
Fernanda Dias,(71) 93923-0152,50,PIX
Helena Santos,(71) 95161-0153,90,Espécie
Aline Teixeira,(71) 96388-0154,85,Espécie
Daniel Lima,(71) 91738-0155,100,Espécie
Gustavo Teixeira,(71) 96234-0156,60,Espécie
Beatriz Moreira,(71) 98140-0157,45,Espécie
Sofia Carvalho,(71) 92087-0158,45,PIX
Victor Almeida,(71) 93875-0159,85,PIX
João Silva,(71) 93335-0160,55,PIX
Vanessa Dias,(71) 96357-0161,30,PIX
Camila Oliveira,(71) 95750-0162,40,PIX
Carlos Silva,(71) 96547-0163,60,PIX
Simone Almeida,(71) 95831-0164,0,Não contribuiu
Victor Dias,(71) 92493-0165,60,PIX
Elaine Lima,(71) 91227-0166,0,Não contribuiu
Bruno Santos,(71) 98903-0167,0,Não contribuiu
Helena Costa,(71) 95977-0168,90,PIX
Marcelo Oliveira,(71) 91832-0169,20,PIX
João Ribeiro,(71) 97290-0170,95,PIX
Juliana Pereira,(71) 95721-0171,50,Espécie
Patrícia Rocha,(71) 95798-0172,60,Espécie
Helena Carvalho,(71) 98654-0173,65,Espécie
Daniel Martins,(71) 99981-0174,90,PIX
Mariana Barbosa,(71) 97432-0175,0,Não contribuiu
Rafael Vieira,(71) 96673-0176,70,Espécie
Renata Rocha,(71) 94313-0177,0,Não contribuiu
Diego Almeida,(71) 97842-0178,20,PIX
Elaine Mendes,(71) 94595-0179,50,PIX
Vinícius Carvalho,(71) 95127-0180,0,Não contribuiu
Diego Mendes,(71) 94682-0181,10,Espécie
Mateus Ramos,(71) 92607-0182,75,PIX
Marcelo Santos,(71) 95482-0183,85,PIX
Mateus Vieira,(71) 94238-0184,40,PIX
Lucas Barbosa,(71) 98107-0185,60,PIX
Victor Mendes,(71) 92522-0186,0,Não contribuiu
Renata Mendes,(71) 98015-0187,10,Espécie
Aline Teixeira,(71) 99133-0188,100,Espécie
Beatriz Melo,(71) 98374-0189,80,PIX
Isabela Santos,(71) 91123-0190,0,Não contribuiu
Fábio Rocha,(71) 96839-0191,45,PIX
Daniel Mendes,(71) 93813-0192,85,Espécie
Thiago Carvalho,(71) 94354-0193,0,Não contribuiu
William Rocha,(71) 97441-0194,65,Espécie
Marcelo Vieira,(71) 96719-0195,30,PIX
Aline Gomes,(71) 96747-0196,100,PIX
Fábio Ferreira,(71) 99576-0197,50,PIX
Thiago Gomes,(71) 95762-0198,20,Espécie
Isabela Mendes,(71) 98661-0199,0,Não contribuiu
Rafael Dias,(71) 98272-0200,95,PIX
Diego Ferreira,(71) 95402-0201,20,Espécie
Daniel Oliveira,(71) 98970-0202,55,PIX
Thiago Silva,(71) 93386-0203,90,PIX
Simone Rocha,(71) 96413-0204,0,Não contribuiu
Rafael Lima,(71) 98290-0205,25,PIX
Renata Melo,(71) 98178-0206,0,Não contribuiu
Fernanda Pereira,(71) 94593-0207,0,Não contribuiu
Victor Martins,(71) 92863-0208,0,Não contribuiu
Samuel Ribeiro,(71) 99885-0209,95,PIX
Aline Costa,(71) 95357-0210,35,Espécie
Gustavo Dias,(71) 93692-0211,90,PIX
Gabriel Almeida,(71) 98287-0212,15,Espécie
Eduardo Vieira,(71) 97872-0213,55,PIX
Samuel Pereira,(71) 99082-0214,80,Espécie
Daniel Pereira,(71) 97803-0215,30,PIX
Thiago Vieira,(71) 94962-0216,15,PIX
Samuel Ramos,(71) 98621-0217,0,Não contribuiu
Thiago Nascimento,(71) 92475-0218,0,Não contribuiu
Patrícia Lima,(71) 92755-0219,60,Espécie
Simone Santos,(71) 94781-0220,0,Não contribuiu
Gustavo Almeida,(71) 91983-0221,65,Espécie
Gustavo Gomes,(71) 93291-0222,0,Não contribuiu
Gabriel Gomes,(71) 97077-0223,50,Espécie
João Vieira,(71) 93776-0224,45,PIX
Victor Martins,(71) 99870-0225,0,Não contribuiu
Juliana Gomes,(71) 97118-0226,0,Não contribuiu
Ana Dias,(71) 98795-0227,30,Espécie
Juliana Dias,(71) 94418-0228,0,Não contribuiu
Carlos Melo,(71) 92812-0229,15,PIX
Beatriz Ramos,(71) 92745-0230,60,PIX
Eduardo Ribeiro,(71) 99166-0231,75,PIX
Samuel Almeida,(71) 98693-0232,20,PIX
Vinícius Ribeiro,(71) 99808-0233,35,PIX
Ana Dias,(71) 97671-0234,95,PIX
Fábio Ribeiro,(71) 98028-0235,30,Espécie
João Souza,(71) 92332-0236,100,PIX
Mariana Dias,(71) 97118-0237,0,Não contribuiu
Bruno Silva,(71) 98414-0238,15,PIX
Juliana Ramos,(71) 94734-0239,40,PIX
Natália Martins,(71) 95546-0240,85,PIX
Juliana Rocha,(71) 99746-0241,0,Não contribuiu
Renata Vieira,(71) 97568-0242,60,Espécie
Mateus Vieira,(71) 95672-0243,0,Não contribuiu
William Oliveira,(71) 96670-0244,40,Espécie
Beatriz Pereira,(71) 96804-0245,0,Não contribuiu
Marcelo Martins,(71) 93521-0246,0,Não contribuiu
Mariana Gomes,(71) 96086-0247,45,Espécie
Victor Ferreira,(71) 97702-0248,50,PIX
Carlos Moreira,(71) 99871-0249,65,PIX
Bruno Ferreira,(71) 91112-0250,80,Espécie
Juliana Mendes,(71) 96870-0251,40,Espécie
Rafael Silva,(71) 91783-0252,15,Espécie
Juliana Pereira,(71) 91122-0253,0,Não contribuiu
Vanessa Martins,(71) 94248-0254,0,Não contribuiu
Vinícius Ferreira,(71) 93567-0255,85,PIX
Lucas Costa,(71) 92418-0256,60,Espécie
Diego Ribeiro,(71) 94058-0257,20,PIX
Samuel Moreira,(71) 96089-0258,45,PIX
Marcelo Costa,(71) 95947-0259,0,Não contribuiu
Aline Ramos,(71) 96359-0260,0,Não contribuiu
Samuel Costa,(71) 93871-0261,65,PIX
Carlos Gomes,(71) 92178-0262,60,Espécie
Daniel Ribeiro,(71) 98449-0263,75,PIX
Gabriel Ribeiro,(71) 96135-0264,65,Espécie
Lucas Ferreira,(71) 98277-0265,25,PIX
Rafael Teixeira,(71) 98217-0266,30,PIX
João Dias,(71) 93232-0267,95,Espécie
Mariana Costa,(71) 91501-0268,10,Espécie
Sofia Silva,(71) 98582-0269,0,Não contribuiu
Thiago Rocha,(71) 95344-0270,95,Espécie
Natália Gomes,(71) 93254-0271,0,Não contribuiu
Simone Mendes,(71) 91092-0272,40,PIX
Thiago Almeida,(71) 91331-0273,25,PIX
Gabriel Nascimento,(71) 93809-0274,0,Não contribuiu
Yasmin Ramos,(71) 93292-0275,0,Não contribuiu
Diego Lima,(71) 99408-0276,0,Não contribuiu
Daniel Barbosa,(71) 93533-0277,55,Espécie
Fábio Souza,(71) 92659-0278,75,PIX
Natália Martins,(71) 99785-0279,60,PIX
Vinícius Melo,(71) 96230-0280,80,Espécie
Simone Carvalho,(71) 95054-0281,40,PIX
Gabriel Gomes,(71) 92769-0282,15,Espécie
Vanessa Gomes,(71) 95699-0283,85,PIX
Aline Almeida,(71) 94397-0284,60,Espécie
Fernanda Santos,(71) 91381-0285,0,Não contribuiu
Mateus Rocha,(71) 92508-0286,35,Espécie
Sofia Mendes,(71) 94515-0287,40,PIX
Larissa Silva,(71) 94583-0288,45,PIX
Sofia Melo,(71) 94681-0289,0,Não contribuiu
Gustavo Barbosa,(71) 97370-0290,75,Espécie
Fábio Santos,(71) 94723-0291,80,Espécie
Mateus Pereira,(71) 95187-0292,25,PIX
Rodrigo Ferreira,(71) 97278-0293,0,Não contribuiu
Gabriel Martins,(71) 92765-0294,0,Não contribuiu
Renata Almeida,(71) 97006-0295,35,Espécie
Ana Ribeiro,(71) 91988-0296,0,Não contribuiu
Diego Costa,(71) 91993-0297,80,Espécie
Natália Moreira,(71) 99598-0298,95,PIX
Rafael Gomes,(71) 94402-0299,0,Não contribuiu
Victor Ramos,(71) 92551-0300,0,Não contribuiu
Natália Melo,(71) 97917-0301,15,PIX
Mateus Barbosa,(71) 95461-0302,10,PIX
Daniel Almeida,(71) 91168-0303,20,Espécie
Vanessa Lima,(71) 92453-0304,15,PIX
Patrícia Moreira,(71) 96219-0305,0,Não contribuiu
Larissa Santos,(71) 91325-0306,65,PIX
Eduardo Vieira,(71) 92958-0307,90,PIX
Samuel Oliveira,(71) 98719-0308,60,Espécie
Samuel Gomes,(71) 95720-0309,30,PIX
Renata Martins,(71) 92342-0310,35,PIX
Aline Teixeira,(71) 97893-0311,15,Espécie
Gabriel Pereira,(71) 92526-0312,25,Espécie
Ana Barbosa,(71) 91035-0313,0,Não contribuiu
Aline Moreira,(71) 98895-0314,95,Espécie
Mariana Nascimento,(71) 92886-0315,60,Espécie
Aline Ribeiro,(71) 98909-0316,40,Espécie
Simone Teixeira,(71) 92845-0317,0,Não contribuiu
Carlos Costa,(71) 99972-0318,55,PIX
Eduardo Silva,(71) 92021-0319,30,Espécie
Fernanda Ramos,(71) 96646-0320,55,Espécie
Yasmin Souza,(71) 97313-0321,25,PIX
Diego Martins,(71) 93038-0322,0,Não contribuiu
Camila Rocha,(71) 92450-0323,0,Não contribuiu
Larissa Oliveira,(71) 96054-0324,40,Espécie
Rodrigo Teixeira,(71) 97780-0325,0,Não contribuiu
William Oliveira,(71) 97274-0326,10,Espécie
Eduardo Oliveira,(71) 98181-0327,45,Espécie
Vanessa Santos,(71) 95789-0328,95,Espécie
Bruno Mendes,(71) 94012-0329,50,PIX
Elaine Costa,(71) 91030-0330,70,Espécie
Renata Moreira,(71) 98805-0331,25,PIX
Camila Silva,(71) 92480-0332,0,Não contribuiu
Elaine Oliveira,(71) 91201-0333,10,PIX
Marcelo Gomes,(71) 94114-0334,85,PIX
Vanessa Melo,(71) 92062-0335,0,Não contribuiu
Beatriz Dias,(71) 92614-0336,65,PIX
Elaine Almeida,(71) 92302-0337,30,PIX
Natália Moreira,(71) 94870-0338,0,Não contribuiu
Isabela Souza,(71) 95995-0339,0,Não contribuiu
Yasmin Rocha,(71) 96409-0340,35,Espécie
Sofia Santos,(71) 97372-0341,20,Espécie
Sofia Souza,(71) 95946-0342,40,PIX
Thiago Oliveira,(71) 96539-0343,100,PIX
Fernanda Lima,(71) 97421-0344,75,Espécie
Elaine Barbosa,(71) 96311-0345,95,Espécie
Yasmin Lima,(71) 97933-0346,75,Espécie
Samuel Ramos,(71) 94251-0347,60,PIX
Carlos Dias,(71) 93369-0348,40,PIX
Eduardo Melo,(71) 93792-0349,45,Espécie
Gustavo Carvalho,(71) 96467-0350,0,Não contribuiu
Rodrigo Oliveira,(71) 99924-0351,0,Não contribuiu
Natália Rocha,(71) 94241-0352,80,PIX
Paulo Carvalho,(71) 91150-0353,45,PIX
Isabela Rocha,(71) 99850-0354,30,PIX
Victor Ferreira,(71) 98884-0355,50,Espécie
Yasmin Teixeira,(71) 99611-0356,25,Espécie
Elaine Rocha,(71) 95860-0357,70,PIX
Vinícius Costa,(71) 91615-0358,25,PIX
Camila Vieira,(71) 93553-0359,90,PIX
Lucas Silva,(71) 96570-0360,90,PIX
Isabela Souza,(71) 98890-0361,0,Não contribuiu
Aline Ribeiro,(71) 95008-0362,0,Não contribuiu
Daniel Martins,(71) 92746-0363,95,PIX
Eduardo Mendes,(71) 97392-0364,25,PIX
Vinícius Teixeira,(71) 97090-0365,0,Não contribuiu
Isabela Dias,(71) 91047-0366,60,Espécie
Isabela Ramos,(71) 93753-0367,0,Não contribuiu
Elaine Oliveira,(71) 91406-0368,25,Espécie
Fábio Dias,(71) 94112-0369,0,Não contribuiu
Marcelo Rocha,(71) 97384-0370,80,PIX
João Moreira,(71) 97321-0371,55,Espécie
Camila Ramos,(71) 98614-0372,40,PIX
Daniel Silva,(71) 91242-0373,0,Não contribuiu
Camila Carvalho,(71) 97297-0374,0,Não contribuiu
Diego Vieira,(71) 91725-0375,75,Espécie
Mateus Nascimento,(71) 95890-0376,35,Espécie
Vanessa Silva,(71) 96184-0377,35,Espécie
Victor Carvalho,(71) 94427-0378,15,PIX
Yasmin Ribeiro,(71) 97720-0379,20,Espécie
Eduardo Vieira,(71) 99796-0380,100,Espécie
Rafael Mendes,(71) 98816-0381,85,Espécie
William Melo,(71) 93611-0382,100,Espécie
Vinícius Ramos,(71) 91310-0383,0,Não contribuiu
Camila Souza,(71) 93458-0384,0,Não contribuiu
Gustavo Ramos,(71) 97464-0385,70,PIX
Marcelo Barbosa,(71) 94372-0386,15,Espécie
Gabriel Ramos,(71) 94088-0387,25,PIX
Eduardo Oliveira,(71) 94291-0388,25,Espécie
Vanessa Silva,(71) 98505-0389,0,Não contribuiu
Eduardo Mendes,(71) 96984-0390,25,PIX
Carlos Martins,(71) 94658-0391,80,PIX
Marcelo Santos,(71) 99385-0392,25,Espécie
Aline Santos,(71) 99324-0393,0,Não contribuiu
Vanessa Gomes,(71) 96824-0394,65,PIX
Eduardo Rocha,(71) 95765-0395,35,PIX
Helena Teixeira,(71) 96450-0396,30,PIX
Mateus Rocha,(71) 99366-0397,80,PIX
Isabela Mendes,(71) 94476-0398,0,Não contribuiu
Thiago Santos,(71) 92102-0399,35,PIX
Vinícius Pereira,(71) 92203-0400,0,Não contribuiu
Rafael Lima,(71) 92987-0401,0,Não contribuiu
Renata Rocha,(71) 92476-0402,0,Não contribuiu
Aline Melo,(71) 93613-0403,60,PIX
Ana Teixeira,(71) 99782-0404,25,Espécie
Larissa Melo,(71) 96930-0405,15,PIX
Mariana Lima,(71) 93237-0406,50,Espécie
Samuel Pereira,(71) 99537-0407,55,Espécie
Renata Almeida,(71) 94565-0408,0,Não contribuiu
Thiago Ferreira,(71) 92428-0409,30,Espécie
Paulo Almeida,(71) 95789-0410,35,PIX
Daniel Pereira,(71) 94927-0411,85,Espécie
Rodrigo Oliveira,(71) 99665-0412,70,PIX
Isabela Pereira,(71) 98991-0413,100,Espécie
Natália Ferreira,(71) 99168-0414,85,Espécie
Samuel Ribeiro,(71) 98444-0415,65,Espécie
Elaine Moreira,(71) 93822-0416,0,Não contribuiu
Patrícia Vieira,(71) 95751-0417,25,Espécie
Helena Mendes,(71) 91400-0418,45,Espécie
Thiago Silva,(71) 92478-0419,80,Espécie
Gustavo Costa,(71) 92107-0420,90,Espécie
Isabela Barbosa,(71) 98455-0421,25,PIX
Renata Martins,(71) 98977-0422,30,Espécie
Bruno Moreira,(71) 94422-0423,80,PIX
Juliana Gomes,(71) 98931-0424,95,PIX
Larissa Nascimento,(71) 92891-0425,65,Espécie
Diego Santos,(71) 94266-0426,75,PIX
Daniel Carvalho,(71) 95693-0427,25,Espécie
Elaine Mendes,(71) 93257-0428,0,Não contribuiu
Eduardo Lima,(71) 99537-0429,55,PIX
Thiago Melo,(71) 97711-0430,75,Espécie
Renata Ribeiro,(71) 96251-0431,0,Não contribuiu
Natália Melo,(71) 95384-0432,50,PIX
Beatriz Teixeira,(71) 96648-0433,50,PIX
Isabela Ramos,(71) 96869-0434,30,PIX
Thiago Carvalho,(71) 96439-0435,0,Não contribuiu
Helena Nascimento,(71) 95157-0436,75,PIX
Elaine Vieira,(71) 98030-0437,50,Espécie
Beatriz Ferreira,(71) 97078-0438,50,Espécie
Bruno Vieira,(71) 94365-0439,90,PIX
Isabela Mendes,(71) 92520-0440,85,Espécie
Vinícius Silva,(71) 91891-0441,85,PIX
Thiago Moreira,(71) 92465-0442,0,Não contribuiu
Fernanda Nascimento,(71) 99424-0443,45,Espécie
Renata Mendes,(71) 95065-0444,0,Não contribuiu
Aline Martins,(71) 94176-0445,25,PIX
Patrícia Carvalho,(71) 91503-0446,90,PIX
Vanessa Ramos,(71) 97083-0447,75,Espécie
Mateus Ferreira,(71) 95069-0448,85,Espécie
Sofia Ribeiro,(71) 98009-0449,0,Não contribuiu
Victor Lima,(71) 98460-0450,75,Espécie
Renata Martins,(71) 96374-0451,70,Espécie
Rafael Moreira,(71) 91458-0452,55,PIX
Vanessa Santos,(71) 91023-0453,85,PIX
Camila Souza,(71) 91912-0454,15,PIX
William Dias,(71) 92750-0455,55,Espécie
Fernanda Oliveira,(71) 97561-0456,40,Espécie
Thiago Rocha,(71) 99264-0457,10,Espécie
João Santos,(71) 95572-0458,50,PIX
Sofia Teixeira,(71) 97597-0459,95,Espécie
Sofia Lima,(71) 91400-0460,0,Não contribuiu
Isabela Teixeira,(71) 97568-0461,15,Espécie
Camila Oliveira,(71) 96565-0462,10,Espécie
Renata Carvalho,(71) 93065-0463,50,Espécie
Larissa Ramos,(71) 94159-0464,55,Espécie
Mateus Melo,(71) 92871-0465,0,Não contribuiu
Vinícius Moreira,(71) 93799-0466,0,Não contribuiu
Victor Dias,(71) 92899-0467,0,Não contribuiu
Bruno Silva,(71) 91801-0468,100,PIX
Marcelo Santos,(71) 94852-0469,70,Espécie
Marcelo Santos,(71) 91933-0470,0,Não contribuiu
Yasmin Costa,(71) 95270-0471,15,PIX
Carlos Moreira,(71) 91736-0472,0,Não contribuiu
Renata Teixeira,(71) 99338-0473,0,Não contribuiu
Juliana Pereira,(71) 94773-0474,75,Espécie
Gabriel Vieira,(71) 97334-0475,40,Espécie
Patrícia Moreira,(71) 92727-0476,25,Espécie
Aline Mendes,(71) 92302-0477,50,Espécie
Marcelo Souza,(71) 94381-0478,0,Não contribuiu
Patrícia Teixeira,(71) 97448-0479,60,Espécie
Isabela Ribeiro,(71) 94089-0480,0,Não contribuiu
Simone Oliveira,(71) 96421-0481,10,Espécie
Bruno Dias,(71) 96318-0482,65,PIX
Isabela Santos,(71) 92657-0483,0,Não contribuiu
Daniel Moreira,(71) 98191-0484,95,Espécie
Camila Costa,(71) 99126-0485,25,Espécie
Marcelo Rocha,(71) 92592-0486,35,PIX
Samuel Santos,(71) 91698-0487,0,Não contribuiu
Samuel Souza,(71) 94801-0488,80,PIX
Mariana Teixeira,(71) 97429-0489,65,PIX
Natália Mendes,(71) 94645-0490,45,PIX
Diego Mendes,(71) 99939-0491,35,Espécie
Bruno Dias,(71) 93158-0492,0,Não contribuiu
Camila Vieira,(71) 96145-0493,0,Não contribuiu
Natália Barbosa,(71) 91101-0494,95,Espécie
Vanessa Mendes,(71) 96143-0495,20,PIX
Beatriz Souza,(71) 96391-0496,90,Espécie
Juliana Vieira,(71) 93264-0497,45,PIX
Yasmin Ribeiro,(71) 98249-0498,20,Espécie
Thiago Rocha,(71) 96560-0499,0,Não contribuiu
Gustavo Pereira,(71) 95956-0500,100,Espécie
Lucas Mendes,(71) 97473-0501,85,Espécie
Victor Oliveira,(71) 99434-0502,30,Espécie
Patrícia Ramos,(71) 98698-0503,0,Não contribuiu
Carlos Lima,(71) 98201-0504,85,PIX
William Melo,(71) 96427-0505,10,PIX
Eduardo Moreira,(71) 99437-0506,0,Não contribuiu
Gabriel Moreira,(71) 94028-0507,75,PIX
Rodrigo Silva,(71) 94345-0508,60,Espécie
Natália Ribeiro,(71) 91799-0509,0,Não contribuiu
Simone Souza,(71) 98562-0510,0,Não contribuiu
Marcelo Moreira,(71) 93049-0511,65,Espécie
Victor Almeida,(71) 96606-0512,0,Não contribuiu
João Rocha,(71) 92554-0513,0,Não contribuiu
Yasmin Vieira,(71) 99805-0514,50,Espécie
Marcelo Pereira,(71) 96232-0515,0,Não contribuiu
Paulo Ribeiro,(71) 95611-0516,0,Não contribuiu
Gustavo Santos,(71) 93559-0517,20,Espécie
Aline Moreira,(71) 92438-0518,40,Espécie
Ana Carvalho,(71) 97923-0519,55,PIX
Diego Pereira,(71) 95472-0520,0,Não contribuiu
Rafael Pereira,(71) 94391-0521,65,Espécie
Lucas Souza,(71) 99315-0522,0,Não contribuiu
Gabriel Nascimento,(71) 95424-0523,10,Espécie
Samuel Ribeiro,(71) 99830-0524,85,PIX
Daniel Gomes,(71) 93827-0525,85,PIX
Thiago Gomes,(71) 99766-0526,0,Não contribuiu
João Souza,(71) 98695-0527,0,Não contribuiu
Diego Martins,(71) 91352-0528,10,Espécie
Vanessa Lima,(71) 97586-0529,35,Espécie
